Ward,AgeGroup,Total,Men,Women
1,Total,87780,42980,44805
1,0-4,4235,2210,2030
1,5-9,5270,2810,2460
1,10-14,6130,3015,3110
1,15-19,5735,2950,2785
1,20-24,5250,2660,2590
1,25-29,4260,2110,2155
1,30-34,5385,2630,2760
1,35-39,6245,3050,3195
1,40-44,6420,2945,3475
1,45-49,6755,3265,3490
1,50-54,6525,3235,3290
1,55-59,6165,2970,3195
1,60-64,5655,2690,2960
1,65-69,4850,2300,2550
1,70-74,3690,1795,1900
1,75-79,2365,1125,1240
1,80-84,1525,640,885
1,85-89,905,390,510
1,90-94,335,165,165
1,95-99,60,20,40
1,100 years and over,20,0,20
2,Total,94935,46665,48275
2,0-4,6120,3070,3045
2,5-9,6775,3300,3470
2,10-14,6700,3550,3155
2,15-19,5895,3060,2835
2,20-24,5495,2895,2600
2,25-29,5520,2715,2810
2,30-34,7230,3490,3745
2,35-39,8460,3920,4540
2,40-44,7710,3685,4020
2,45-49,6855,3360,3490
2,50-54,6400,3085,3315
2,55-59,5985,2770,3215
2,60-64,5085,2590,2495
2,65-69,4115,2050,2065
2,70-74,2985,1495,1485
2,75-79,1640,740,900
2,80-84,1120,495,620
2,85-89,555,235,320
2,90-94,235,115,120
2,95-99,55,30,25
2,100 years and over,10,0,10
3,Total,85675,42450,43225
3,0-4,4835,2415,2415
3,5-9,5635,2900,2730
3,10-14,6230,3220,3005
3,15-19,5945,3215,2730
3,20-24,5190,2830,2355
3,25-29,5000,2445,2555
3,30-34,5960,2800,3165
3,35-39,6725,3225,3505
3,40-44,6530,3130,3405
3,45-49,6975,3285,3690
3,50-54,6420,3180,3235
3,55-59,5920,2995,2925
3,60-64,4860,2440,2420
3,65-69,3730,1715,2015
3,70-74,2685,1310,1375
3,75-79,1450,745,700
3,80-84,905,380,525
3,85-89,465,155,315
3,90-94,170,65,105
3,95-99,40,10,35
3,100 years and over,10,0,10
4,Total,88825,44255,44565
4,0-4,4300,2175,2130
4,5-9,4895,2560,2325
4,10-14,5215,2685,2530
4,15-19,4815,2470,2340
4,20-24,5615,2925,2695
4,25-29,6035,3155,2875
4,30-34,6565,3335,3225
4,35-39,6345,3170,3170
4,40-44,6145,2935,3215
4,45-49,5665,2850,2810
4,50-54,5580,2730,2855
4,55-59,5910,2950,2965
4,60-64,6395,3095,3305
4,65-69,5330,2610,2725
4,70-74,3960,1850,2110
4,75-79,2475,1235,1240
4,80-84,1720,745,975
4,85-89,1215,530,680
4,90-94,550,215,340
4,95-99,70,30,40
4,100 years and over,20,0,20
5,Total,106220,53505,52715
5,0-4,8825,4615,4210
5,5-9,8485,4255,4235
5,10-14,7795,4020,3775
5,15-19,6750,3620,3125
5,20-24,7665,4060,3605
5,25-29,8375,4190,4180
5,30-34,10405,4860,5545
5,35-39,10265,5130,5135
5,40-44,8705,4215,4480
5,45-49,6975,3505,3465
5,50-54,5505,2930,2575
5,55-59,4745,2475,2275
5,60-64,3935,1900,2035
5,65-69,3230,1525,1700
5,70-74,2200,1065,1130
5,75-79,1295,635,655
5,80-84,670,280,385
5,85-89,300,195,110
5,90-94,75,15,60
5,95-99,30,0,25
5,100 years and over,0,0,0
6,Total,98175,47660,50515
6,0-4,4855,2470,2390
6,5-9,6350,3105,3245
6,10-14,7540,3925,3615
6,15-19,6690,3445,3245
6,20-24,5185,2780,2405
6,25-29,4605,2310,2295
6,30-34,5670,2720,2950
6,35-39,7005,3285,3720
6,40-44,7430,3320,4105
6,45-49,8115,3820,4300
6,50-54,7530,3755,3775
6,55-59,6915,3345,3575
6,60-64,6250,3000,3245
6,65-69,4960,2350,2610
6,70-74,3630,1665,1965
6,75-79,2485,1165,1320
6,80-84,1600,675,920
6,85-89,925,330,590
6,90-94,345,165,185
6,95-99,75,30,45
6,100 years and over,15,0,15
7,Total,77660,39045,38615
7,0-4,4045,2130,1920
7,5-9,3410,1660,1750
7,10-14,2895,1560,1330
7,15-19,2580,1225,1355
7,20-24,5705,2905,2795
