Ward,Gender,Population_15plus,In_Labour_Force,Employed,Self_Employed,Unemployed,Not_in_Labour_Force,Labour_Force_Participation_Rate,Employment_Rate,Unemployment_Rate
1,All,72145,47710,42090,7410,5625,24440,66,58,12
1,Male,34945,24520,21635,4330,2890,10430,70,62,12
1,Female,37200,23190,20455,3085,2735,14010,62,55,12
2,All,75335,53015,46760,7535,6255,22325,70,62,12
2,Male,36740,27415,24190,4435,3225,9330,75,66,12
2,Female,38595,25600,22570,3100,3035,12995,66,59,12
3,All,68980,48690,42270,6345,6415,20295,71,61,13
3,Male,33910,25250,22070,3990,3180,8665,75,65,13
3,Female,35070,23440,20205,2355,3235,11630,67,58,14
4,All,74415,47075,40475,7290,6590,27340,63,54,14
4,Male,36835,24850,21265,4575,3585,11985,68,58,14
4,Female,37580,22220,19215,2715,3000,15360,59,51,14
5,All,81115,57745,49910,7720,7840,23370,71,62,14
5,Male,40620,31040,27250,5970,3795,9580,76,67,12
5,Female,40500,26710,22660,1755,4050,13790,66,56,15
6,All,79425,53120,46790,10040,6330,26305,67,59,12
6,Male,38155,27255,24030,5890,3225,10905,71,63,12
6,Female,41270,25870,22760,4150,3110,15395,63,55,12
7,All,67315,48305,42505,7490,5800,19005,72,63,12
7,Male,33705,25510,22490,4310,3015,8195,76,67,12
7,Female,33615,22800,20015,3180,2785,10810,68,60,12
8,All,84525,64630,57110,10605,7520,19890,77,68,12
8,Male,42290,33870,30040,6340,3830,8425,80,71,11
8,Female,42230,30765,27070,4270,3695,11465,73,64,12
9,All,71850,47655,40330,6145,7325,24195,66,56,15
9,Male,36575,25660,21850,3720,3805,10915,70,60,15
9,Female,35275,21995,18480,2430,3520,13285,62,52,16
10,All,72800,45315,38255,5825,7065,27490,62,53,16
10,Male,36530,24490,20875,3985,3620,12040,67,57,15
10,Female,36270,20825,17380,1840,3445,15445,57,48,17
11,All,87115,57840,50770,9610,7070,29270,66,58,12
11,Male,42685,29850,26225,5710,3630,12830,70,61,12
11,Female,44430,27985,24545,3900,3440,16440,63,55,12
12,All,76095,58950,53325,7825,5625,17140,78,70,10
12,Male,37140,30610,27855,4570,2755,6530,82,75,9
12,Female,38950,28340,25470,3255,2870,10610,73,65,10
13,All,74705,51390,45015,7255,6380,23310,69,60,12
13,Male,36360,26625,23310,4290,3315,9740,73,64,13
13,Female,38340,24770,21705,2960,3065,13570,65,57,12
14,All,70480,48645,43075,7685,5570,21830,69,61,12
14,Male,34710,25400,22600,4525,2795,9310,73,65,11
14,Female,35770,23250,20475,3155,2775,12515,65,57,12
